transaction_id,customer_id,timestamp,amount,transaction_type,merchant_category,location,device_type,account_age_days,transaction_frequency,previous_transaction_amount,distance_from_usual_location,is_fraud
TXN-100236,CUST-1149,2025-01-01 09:46:31,475.26,UPI Transfer,Dining & Food,Kolkata,Desktop Web Browser,335,2,598.61,66.76,0
TXN-100845,CUST-1049,2025-01-01 14:34:57,1320.67,Online,Utilities & Bills,Kolkata,Trusted Mobile App (iOS),818,3,1206.58,20.91,0
TXN-100669,CUST-1035,2025-01-01 16:20:03,1882.06,POS / In-Store,Dining & Food,Mumbai,Trusted Mobile App (Android),851,3,1698.39,2.44,0
TXN-100376,CUST-1011,2025-01-01 19:34:26,700.39,POS / In-Store,Utilities & Bills,Mumbai,Trusted Mobile App (iOS),1459,1,380.32,1.99,0
TXN-100114,CUST-1158,2025-01-02 00:28:20,1245.0,POS / In-Store,Healthcare & Medical,Hyderabad,Trusted Mobile App (iOS),1668,1,1188.71,4.27,0
TXN-100754,CUST-1114,2025-01-02 07:48:10,1844.22,Online,Utilities & Bills,Jaipur,Trusted Mobile App (iOS),1773,3,1493.55,16.62,0
TXN-100197,CUST-1164,2025-01-02 09:31:27,447.98,Online,Grocery & Supermarkets,Ahmedabad,Trusted Mobile App (iOS),438,1,135.27,11.79,0
TXN-100800,CUST-1052,2025-01-02 10:41:17,556.8,Online,Utilities & Bills,Mumbai,Desktop Web Browser,1506,3,580.07,14.93,0
TXN-100861,CUST-1167,2025-01-02 10:43:38,1239.1,UPI Transfer,Dining & Food,Hyderabad,Trusted Mobile App (Android),702,1,807.83,15.52,0
TXN-100889,CUST-1092,2025-01-02 17:19:16,732.16,Online,Healthcare & Medical,Delhi,Trusted Mobile App (iOS),854,2,473.13,0.59,0
TXN-100145,CUST-1138,2025-01-02 20:08:34,1124.94,UPI Transfer,Grocery & Supermarkets,Jaipur,Trusted Mobile App (iOS),587,2,1419.47,13.23,0
TXN-100910,CUST-1179,2025-01-02 21:32:48,682.55,Online,Utilities & Bills,Mumbai,Desktop Web Browser,923,3,581.81,9.69,0
TXN-101040,CUST-1100,2025-01-03 08:41:18,1925.59,UPI Transfer,Dining & Food,Hyderabad,Trusted Mobile App (iOS),862,2,902.1,12.0,0
TXN-100552,CUST-1141,2025-01-03 09:00:49,646.35,UPI Transfer,Dining & Food,Chennai,Desktop Web Browser,1030,3,635.89,9.69,0
TXN-100066,CUST-1102,2025-01-03 10:29:56,726.6,UPI Transfer,Utilities & Bills,Pune,Trusted Mobile App (iOS),367,1,989.87,13.61,0
TXN-100361,CUST-1014,2025-01-03 13:39:20,522.89,Online,Utilities & Bills,Kolkata,Trusted Mobile App (iOS),219,3,566.8,15.56,0
TXN-100585,CUST-1072,2025-01-03 14:15:34,1182.33,POS / In-Store,Dining & Food,Pune,Trusted Mobile App (iOS),1134,3,851.17,10.64,0
TXN-100342,CUST-1081,2025-01-03 14:42:09,402.63,POS / In-Store,Grocery & Supermarkets,Mumbai,Trusted Mobile App (iOS),168,2,463.15,9.58,0
TXN-101174,CUST-1076,2025-01-04 04:20:39,128868.06,Online,Luxury Goods & Jewelry,Chennai,Mobile Web Browser,469,5,393.45,584.27,1
TXN-100105,CUST-1093,2025-01-04 12:13:37,551.97,Online,Dining & Food,Kolkata,Trusted Mobile App (iOS),539,1,835.99,13.91,0
TXN-100116,CUST-1138,2025-01-04 14:45:39,1419.47,Online,Healthcare & Medical,Jaipur,Trusted Mobile App (iOS),587,1,1896.37,8.01,0
