transaction_id,customer_id,timestamp,amount,transaction_type,merchant_category,location,device_type,account_age_days,transaction_frequency,previous_transaction_amount,distance_from_usual_location,is_fraud
TXN-100226,CUST-1149,2025-01-01 09:46:31,825.83,UPI Transfer,Dining & Food,Kolkata,Desktop Web Browser,335,2,605.28,66.76,0
TXN-100672,CUST-1035,2025-01-01 16:20:03,580.27,POS / In-Store,Dining & Food,Mumbai,Trusted Mobile App (Android),851,3,1407.65,2.44,0
TXN-100279,CUST-1185,2025-01-01 21:46:14,2468.38,UPI Transfer,Utilities & Bills,Delhi,Desktop Web Browser,645,3,1824.17,3.41,0
TXN-100193,CUST-1024,2025-01-02 00:12:41,2540.74,Online,Dining & Food,Hyderabad,Trusted Mobile App (iOS),808,2,882.52,13.82,0
TXN-100186,CUST-1164,2025-01-02 09:31:27,202.54,Online,Grocery & Supermarkets,Ahmedabad,Trusted Mobile App (iOS),438,1,421.13,11.79,0
TXN-100574,CUST-1021,2025-01-02 09:45:28,998.91,UPI Transfer,Dining & Food,Hyderabad,Desktop Web Browser,172,1,1770.79,16.02,0
TXN-100806,CUST-1052,2025-01-02 10:41:17,870.08,Online,Utilities & Bills,Mumbai,Desktop Web Browser,1506,3,705.88,14.93,0
TXN-100869,CUST-1167,2025-01-02 10:43:38,1312.43,UPI Transfer,Dining & Food,Hyderabad,Trusted Mobile App (Android),702,1,734.76,15.52,0
TXN-101047,CUST-1240,2025-01-02 13:07:46,347.14,POS / In-Store,Grocery & Supermarkets,Pune,Trusted Mobile App (Android),1399,1,525.8,3.18,0
TXN-100216,CUST-1244,2025-01-02 13:52:43,261.34,UPI Transfer,Healthcare & Medical,Kochi,Desktop Web Browser,1387,2,495.33,10.33,0
TXN-100499,CUST-1154,2025-01-02 15:39:57,2072.66,Online,Dining & Food,Mumbai,Trusted Mobile App (Android),460,1,664.75,14.85,0
TXN-100898,CUST-1092,2025-01-02 17:19:16,1155.85,Online,Healthcare & Medical,Delhi,Trusted Mobile App (iOS),854,2,482.53,0.59,0
TXN-100305,CUST-1027,2025-01-02 18:35:31,915.26,Online,Healthcare & Medical,Kolkata,Trusted Mobile App (iOS),1402,1,406.4,11.16,0
TXN-100075,CUST-1031,2025-01-02 20:11:26,1417.65,POS / In-Store,Utilities & Bills,Hyderabad,Trusted Mobile App (iOS),976,1,944.77,9.82,0
TXN-100920,CUST-1179,2025-01-02 21:32:48,389.56,Online,Utilities & Bills,Mumbai,Desktop Web Browser,923,3,352.22,9.69,0
